beacon1,beacon2,beacon3,beacon4,bin
61,72,69,63,10
70,71,67,66,10
61,73,66,74,10
59,71,72,63,10
63,71,68,61,10
61,73,72,59,10
56,71,73,68,10
59,70,69,66,10
63,82,69,69,10
61,71,76,69,10
66,69,75,67,10
61,69,82,78,10
68,69,69,70,10
56,72,60,70,10
63,70,72,79,10
59,69,74,77,10
64,87,70,65,10
61,70,71,63,10
69,79,67,72,10
65,69,77,70,10
54,69,81,64,10
60,69,66,69,10
55,69,69,79,10
63,70,74,60,10
61,69,78,65,10
56,70,81,63,10
59,71,73,69,10
66,70,78,66,10
60,70,75,79,10
58,71,81,62,10
70,83,65,71,10
62,71,63,73,10
68,70,74,68,10
57,70,73,58,10
56,70,63,79,10
64,71,67,60,11
63,72,74,65,11
72,71,71,63,11
54,71,73,58,11
70,71,70,66,11
55,71,79,64,11
54,70,81,63,11
56,70,74,67,11
56,70,77,59,11
57,72,77,59,11
53,71,70,61,11
57,70,66,65,11
55,72,78,67,11
54,71,82,65,11
55,74,73,59,11
55,72,75,69,11
57,72,88,59,11
60,73,73,60,11
66,75,69,60,11
49,71,74,72,11
60,71,76,59,11
52,71,76,59,11
57,72,75,60,11
55,72,77,61,11
69,74,80,64,11
61,70,77,67,11
57,72,75,76,11
54,72,75,61,11
57,71,81,57,11
54,72,77,65,11
57,70,73,58,11
58,72,75,64,11
56,70,58,83,11
55,81,70,61,11
58,70,83,74,11
58,71,71,56,11
59,71,59,78,11
56,69,79,62,11
56,87,59,71,12
52,72,81,57,12
66,70,85,60,12
51,72,80,64,12
63,72,76,56,12
55,73,79,62,12
48,62,73,87,12
59,72,75,68,12
56,72,80,52,12
63,71,72,58,12
54,71,81,71,12
51,71,71,62,12
53,71,73,63,12
49,71,74,63,12
45,72,77,61,12
55,72,77,62,12
55,71,76,69,12
58,72,76,68,12
55,70,81,61,12
69,82,58,70,12
50,72,80,57,12
54,59,71,80,12
54,71,78,57,12
48,71,59,79,12
57,71,73,52,12
62,71,83,66,12
55,71,80,61,12
51,72,78,65,12
58,71,80,59,12
57,71,78,57,12
53,71,78,61,12
57,72,74,54,12
50,71,75,60,12
48,71,86,61,12
45,70,80,49,12
52,71,85,48,12
51,73,71,66,12
47,71,75,52,12
55,72,54,74,12
47,72,76,50,12
49,72,79,54,12
52,70,80,55,12
56,70,77,53,12
52,71,,12
53,71,76,50,13
43,72,75,57,13
50,72,74,51,13
48,74,76,51,13
48,72,80,46,13
49,73,45,85,13
51,72,49,81,13
55,71,81,50,13
46,71,81,48,13
46,72,81,54,13
43,71,79,49,13
50,72,84,43,13
46,73,82,52,13
43,72,75,61,13
46,80,47,71,13
45,72,78,50,13
52,72,80,52,13
51,70,71,50,13
42,72,71,62,13
47,72,79,53,13
56,72,75,51,13
41,80,52,72,13
48,72,84,60,13
50,71,73,51,13
57,70,83,46,13
49,70,77,45,13
52,71,77,47,13
60,71,81,49,13
44,72,70,58,13
49,74,51,71,13
46,71,75,55,13
57,70,78,62,13
43,71,76,52,13
44,70,78,46,13
49,71,51,79,13
44,70,72,51,13
40,72,78,53,13
45,71,49,74,14
44,52,71,83,14
42,71,79,58,14
39,71,80,45,14
41,71,76,51,14
49,70,83,48,14
48,72,71,41,14
45,61,71,80,14
45,71,72,53,14
49,72,75,48,14
52,83,46,72,14
54,72,71,44,14
42,71,72,49,14
45,80,45,70,14
45,72,73,48,14
43,73,72,49,14
44,74,79,47,14
51,72,76,51,14
55,72,79,45,14
52,72,74,46,14
49,71,71,46,14
38,72,74,63,14
43,72,77,44,14
47,84,45,71,14
40,72,79,52,14
45,73,82,43,14
40,72,70,51,14
39,71,46,80,14
45,72,78,45,14
42,72,73,37,14
38,72,70,37,14
46,72,71,37,14
57,73,79,39,14
45,71,75,41,14
44,72,81,48,14
39,71,72,54,14
44,71,75,38,14
47,72,82,42,14
46,72,74,50,14
49,72,70,47,14
36,72,75,41,14
37,72,81,38,14
53,71,77,36,14
46,72,73,43,14
39,72,69,51,14
42,72,82,38,14
39,71,83,37,14
60,72,69,39,14
42,73,80,37,14
37,73,70,36,14
37,72,77,36,14
39,71,69,36,14
36,71,73,47,14
39,71,73,38,14
35,72,74,46,14
37,72,72,44,14
37,72,72,46,14
47,72,69,58,14
40,72,37,85,14
35,73,77,38,14
53,72,75,47,14
46,72,66,36,14
40,72,69,50,14
41,72,69,52,14
36,71,71,42,14
44,71,70,39,14
38,71,67,52,14
47,72,72,37,15
49,72,37,70,15
51,73,72,36,15
40,73,71,40,15
42,72,71,46,15
43,72,69,43,15
45,71,71,39,15
41,72,47,70,15
55,71,69,41,15
42,72,69,45,15
52,72,68,58,15
58,72,68,52,15
49,72,68,43,15
62,72,70,47,15
40,71,70,50,15
47,71,69,48,15
53,72,69,40,15
45,72,69,42,15
50,72,69,45,15
38,72,69,45,15
45,72,69,39,15
42,71,69,39,15
41,71,67,49,15
43,71,68,46,15
47,72,67,43,15
60,72,71,39,15
44,72,70,42,15
42,72,70,43,15
46,72,67,42,15
47,72,69,47,15
40,73,69,42,15
47,72,70,44,15
51,72,68,43,15
43,72,68,39,15
46,72,71,43,15
43,72,72,43,15
51,72,68,51,15
50,72,69,44,15
44,72,68,45,15
49,45,72,70,15
37,72,70,54,15
46,72,71,43,15
43,72,72,45,15
38,72,69,48,15
52,71,70,58,15
39,71,70,41,15
41,72,71,49,15
44,71,71,37,15
56,72,71,44,15
53,72,70,51,15
45,72,72,45,15
43,72,70,43,15
44,72,70,43,15
42,72,70,49,15
44,71,69,43,15
61,72,69,44,15
44,72,71,54,15
37,72,72,50,15
41,71,71,45,15
48,71,71,43,15
41,71,72,41,15
44,72,70,61,15
41,72,68,37,15
61,72,70,45,15
49,71,70,63,15
49,73,70,39,15
48,71,68,42,15
47,71,70,48,15
45,70,73,47,15
45,71,70,42,15
37,71,73,37,15
46,72,71,42,15
47,69,45,73,15
51,73,69,40,15
39,73,68,52,15
41,72,69,43,15
41,72,69,45,15
47,73,67,50,15
48,75,68,41,15
48,74,68,45,15
48,68,39,74,15
48,73,66,40,15
43,72,68,49,15
43,73,70,40,15
51,73,68,43,15
43,71,67,42,16
46,71,66,48,16
40,71,67,43,16
52,70,69,42,16
43,71,69,43,16
39,70,68,39,16
41,70,69,52,16
39,71,67,42,16
42,71,68,39,16
44,71,69,41,16
44,74,69,39,16
47,71,70,48,16
46,72,67,37,16
45,72,66,41,16
54,72,68,48,16
40,71,69,41,16
49,71,68,37,16
45,71,68,42,16
49,71,69,36,16
47,71,69,40,16
53,71,74,42,16
42,72,70,46,16
40,71,70,45,16
37,70,69,39,16
44,69,69,42,16
48,72,69,42,16
43,72,68,45,16
49,70,68,47,16
42,70,68,42,16
50,69,67,45,16
44,69,68,47,16
45,69,71,40,16
39,71,70,37,16
42,69,47,69,16
46,69,69,42,16
41,71,67,46,16
45,70,68,42,16
39,71,69,39,16
64,70,67,42,16
51,71,66,38,16
49,70,70,49,16
40,70,67,42,16
46,70,68,39,16
43,70,70,43,16
47,70,70,42,16
46,72,67,38,16
51,72,67,52,16
56,72,68,42,16
51,69,67,48,16
55,72,69,43,16
45,67,41,70,16
50,71,69,36,16
56,71,67,48,16
43,71,66,50,16
51,72,70,46,16
51,71,67,47,16
41,72,66,43,16
42,72,64,44,16
47,71,65,52,16
39,69,64,40,16
52,70,63,49,16
52,70,,16
50,69,67,38,17
62,70,66,42,17
58,71,67,46,17
46,71,69,43,17
45,71,74,41,17
45,71,68,38,17
46,71,66,38,17
47,71,66,39,17
57,71,69,45,17
49,71,67,46,17
54,71,69,49,17
54,71,67,43,17
52,71,66,43,17
46,71,63,46,17
47,71,63,63,17
43,71,68,46,17
46,71,70,46,17
50,71,69,52,17
47,71,70,36,17
45,70,69,40,17
56,71,67,52,17
50,70,67,37,17
51,71,65,41,17
46,71,66,48,17
53,71,66,39,17
49,71,67,63,17
43,72,66,38,17
49,71,67,37,17
48,71,67,42,17
47,70,41,71,17
51,71,68,44,17
43,71,70,52,17
55,71,67,45,17
49,71,67,42,17
45,71,69,47,17
42,71,69,38,17
52,71,68,46,17
47,70,73,48,17
46,72,71,37,17
51,71,71,56,17
43,71,70,37,17
44,70,67,46,17
46,71,69,46,17
48,71,71,49,17
58,72,71,40,17
46,71,69,45,17
63,70,70,41,17
58,71,70,40,17
46,71,68,42,17
49,72,67,50,17
43,72,66,39,17
45,72,66,40,17
45,72,66,43,17
46,72,68,36,17
43,71,68,35,17
44,72,71,39,17
49,71,69,37,17
52,71,74,41,17
53,72,76,41,17
50,71,76,48,17
50,72,72,43,17
48,71,68,43,17
53,71,74,42,17
46,72,73,39,17
62,72,69,49,17
57,71,69,36,17
54,72,68,41,17
49,71,67,38,17
46,71,66,39,17
43,72,67,34,17
57,71,66,37,17
56,71,68,49,17
56,72,66,48,17
43,72,65,41,17
48,72,64,42,17
53,72,68,40,17
46,72,66,43,17
52,71,66,44,17
51,71,66,47,17
49,71,66,50,17
49,70,66,45,17
48,70,65,36,17
53,71,65,39,17
47,71,63,45,17
51,72,68,42,17
51,72,63,37,17
50,71,62,34,17
51,71,62,35,17
51,71,63,35,17
51,71,67,33,17
49,71,67,37,17
46,72,70,39,17
46,71,68,40,17
48,71,66,40,17
44,72,72,43,17
62,72,69,37,17
49,71,65,50,17
55,72,67,44,17
56,73,65,37,17
48,72,63,65,17
57,70,63,37,17
45,72,68,58,17
52,71,66,54,17
53,72,70,41,17
50,72,64,35,17
58,73,67,33,17
52,71,73,33,17
49,72,76,33,17
47,72,63,34,17
61,71,63,39,17
54,72,64,45,17
51,72,71,55,17
47,72,66,45,17
47,73,66,43,17
56,70,46,85,18
51,71,76,44,18
56,75,46,70,18
50,70,67,50,18
51,70,69,55,18
51,70,74,50,18
53,75,49,70,18
58,70,75,39,18
49,70,71,37,18
50,69,66,44,18
56,70,70,42,18
51,70,69,41,18
52,69,67,54,18
67,70,69,45,18
49,71,67,44,18
49,72,72,51,18
55,72,69,53,18
51,70,69,67,18
62,71,74,47,18
64,72,78,46,18
51,70,76,40,18
51,71,69,49,18
47,70,68,48,18
46,70,69,45,18
50,71,69,44,18
47,73,53,72,18
50,70,75,47,18
61,72,73,51,18
54,71,72,47,18
47,70,75,51,18
56,71,76,39,18
58,70,70,51,18
54,71,68,40,18
52,72,71,46,18
55,72,73,47,18
53,71,72,40,18
54,71,67,54,18
52,71,69,48,18
56,71,75,51,18
61,70,54,84,18
59,70,45,70,18
52,72,67,43,18
54,74,80,53,18
57,71,77,51,18
55,71,75,54,18
50,74,69,44,18
52,72,72,43,18
53,69,76,49,18
57,74,72,47,18
49,73,74,55,18
56,70,77,58,18
58,72,72,49,18
60,72,71,56,18
49,73,79,48,18
49,73,72,45,18
69,73,73,44,18
54,72,75,47,18
58,72,73,46,18
59,71,72,42,18
53,72,73,48,18
48,72,75,46,18
53,73,74,51,18
52,72,78,46,18
58,72,69,51,18
49,71,73,63,18
57,71,50,80,18
68,72,67,47,18
54,74,71,45,18
52,70,79,54,18
61,71,70,45,18
58,71,67,53,18
65,71,72,66,18
53,71,73,45,18
65,70,70,53,18
57,70,60,85,18
55,69,68,58,18
60,72,67,52,18
55,,18
60,72,69,51,19
53,73,70,50,19
65,73,68,47,19
51,73,78,52,19
56,72,79,54,19
56,70,74,54,19
59,72,68,47,19
60,71,71,67,19
58,70,73,54,19
68,72,69,63,19
56,73,68,50,19
60,73,64,49,19
53,72,71,59,19
58,72,67,48,19
57,72,69,53,19
61,72,68,51,19
73,71,67,53,19
68,72,68,61,19
61,72,70,58,19
66,73,69,63,19
57,73,69,57,19
57,73,72,51,19
54,72,77,57,19
60,72,69,59,19
73,72,70,54,19
55,71,72,52,19
55,72,71,70,19
62,72,70,60,19
60,72,72,55,19
60,72,70,49,19
55,72,70,56,19
61,73,69,62,19
61,73,76,53,19
61,73,73,66,19
65,72,74,60,19
67,72,69,57,19
58,72,68,53,19
56,72,71,58,19
57,72,73,56,19
61,71,71,55,19
72,72,71,55,19
65,72,72,63,19
61,72,69,58,19
59,72,72,54,19
59,72,71,66,19
68,72,75,54,19
67,72,68,53,19
63,,19
69,72,71,69,20
69,72,70,58,20
67,72,70,63,20
64,72,70,55,20
64,73,69,63,20
66,73,66,58,20
70,72,65,69,20
65,72,67,62,20
61,72,69,54,20
63,71,75,71,20
66,70,80,60,20
71,71,70,67,20
64,71,71,64,20
59,72,72,55,20
76,72,68,59,20
63,72,68,65,20
67,72,67,63,20
60,73,66,55,20
72,74,67,56,20
60,72,69,55,20
63,72,57,68,20
68,71,65,67,20
73,72,65,59,20
70,71,68,53,20
65,73,69,64,20
78,73,65,62,20
61,74,64,73,20
69,73,65,61,20
63,73,64,55,20
62,73,65,59,20
60,73,68,63,20
73,73,67,55,20
73,66,68,63,20
77,72,69,66,20
66,72,70,57,20
68,72,66,60,20
64,72,66,71,20
71,73,67,61,20
82,73,69,55,20
67,72,67,57,20
69,72,71,61,20
65,72,68,65,20
79,73,68,55,20
66,73,69,55,20
76,72,69,62,20
66,73,64,58,20
70,72,57,68,20
66,72,70,57,20
67,71,74,67,20
63,72,72,62,20
64,73,69,64,20
61,73,76,62,20
65,73,70,63,20
72,72,69,63,20
67,72,71,65,20
81,72,66,68,20
77,72,69,77,20
72,72,71,64,20
68,73,67,61,20
70,73,72,67,20
62,73,70,70,20
67,74,68,57,20
71,73,69,64,20
62,71,69,69,21
69,72,72,70,21
71,71,73,67,21
65,71,69,59,21
69,70,74,72,21
69,71,69,59,21
75,71,68,57,21
69,71,67,57,21
62,72,69,65,21
64,72,67,60,21
76,72,69,54,21
71,72,74,57,21
69,72,69,69,21
82,71,75,58,21
75,71,75,58,21
71,72,70,69,21
76,71,71,59,21
68,71,69,60,21
75,72,68,59,21
74,72,68,60,21
61,73,70,52,21
68,72,71,66,21
70,72,71,66,21
72,72,68,59,21
70,72,77,65,21
75,72,61,75,21
72,73,71,78,21
69,71,72,54,21
76,72,71,56,21
66,72,70,52,21
73,72,71,66,21
69,73,70,75,21
79,72,69,62,21
73,72,70,73,21
72,72,71,69,21
82,72,73,62,21
79,72,75,70,21
72,73,79,63,21
61,72,69,57,21
72,73,70,57,21
71,72,70,67,21
85,73,83,79,21
77,72,59,68,21
74,72,68,69,21
71,72,70,60,21
80,72,71,60,22
76,72,70,61,22
75,72,68,69,22
63,72,76,57,22
74,71,66,60,22
72,72,78,71,22
81,73,75,64,22
76,72,72,71,22
72,71,64,60,22
76,72,66,61,22
73,71,67,60,22
69,72,67,67,22
75,72,67,60,22
75,72,66,61,22
78,72,67,60,22
81,71,74,69,22
72,73,80,65,22
68,73,64,61,22
71,73,64,68,22
80,72,67,65,22
72,74,66,55,22
72,72,66,66,22
74,73,64,64,22
70,71,64,53,22
77,73,71,61,22
81,72,73,69,22
82,73,63,64,22
76,71,66,68,22
69,72,68,68,22
70,71,65,57,22
61,73,63,75,22
64,72,66,51,22
78,72,75,71,22
76,72,79,69,22
81,72,63,66,22
74,72,66,66,22
73,72,71,61,22
69,72,67,55,22
73,72,65,55,22
76,72,66,61,22
81,72,68,56,22
79,73,63,69,22
76,73,63,56,22
72,72,66,70,22
71,71,73,66,22
77,71,74,76,22
74,72,68,62,22
82,73,76,71,22
78,72,69,65,22
68,70,73,61,22
72,63,64,85,23
83,71,61,64,23
80,72,67,83,23
72,71,69,71,23
74,72,69,67,23
71,71,70,77,23
73,67,71,68,23
76,72,67,66,23
82,73,76,77,23
71,72,75,59,23
79,71,71,65,23
73,71,72,71,23
70,72,72,63,23
83,72,59,68,23
71,77,68,73,23
73,73,77,72,23
79,72,69,65,23
70,71,66,61,23
80,71,74,58,23
72,72,76,61,23
69,72,69,58,23
72,72,68,57,23
79,72,70,73,23
79,72,73,66,23
79,73,66,77,23
74,71,64,66,23
79,72,66,67,23
77,72,66,70,23
83,73,64,67,23
84,71,70,62,23
82,72,79,77,23
76,72,72,65,23
78,72,81,61,23
70,72,69,65,23
72,72,68,64,23
69,71,69,67,23
81,71,73,65,23
82,72,71,68,23
73,72,68,67,23
85,72,72,72,23
75,70,72,72,23
72,70,64,85,23
81,71,69,59,23
70,73,69,62,23
71,72,70,69,23
85,72,,23
81,72,65,78,24
81,74,66,75,24
75,72,68,63,24
82,73,65,75,24
78,73,64,70,24
79,72,65,69,24
71,72,68,60,24
80,72,72,81,24
72,72,69,73,24
72,72,67,63,24
82,72,72,66,24
72,78,64,71,24
73,66,68,81,24
81,72,67,63,24
76,73,66,63,24
76,72,72,82,24
84,72,66,67,24
71,66,77,81,24
83,72,70,70,24
72,66,75,72,24
77,72,66,65,24
77,72,65,68,24
82,73,68,63,24
77,73,71,67,24
82,72,65,66,24
82,72,64,79,24
85,72,65,76,24
79,71,63,73,24
72,86,65,62,24
80,74,69,66,24
75,73,64,77,24
71,72,67,62,24
88,74,67,71,24
78,73,64,71,24
79,74,67,70,24
86,73,66,73,24
84,73,66,68,24
78,72,68,69,24
71,72,65,61,24
72,74,68,76,24
83,72,67,68,24
86,72,66,69,24
79,73,65,66,24
85,70,67,69,25
81,71,63,66,25
78,72,69,79,25
74,70,67,80,25
73,70,65,67,25
71,73,66,60,25
81,72,66,64,25
78,71,67,72,25
87,71,67,73,25
72,65,76,73,25
80,71,65,64,25
73,64,63,78,25
84,74,64,79,25
78,74,63,64,25
78,72,65,80,25
78,72,65,67,25
87,71,72,64,25
72,84,66,63,25
81,71,66,72,25
83,70,65,69,25
89,70,65,64,25
79,72,65,63,25
76,72,63,63,25
74,71,65,70,25
87,71,66,84,25
79,72,65,76,25
72,85,68,77,25
82,72,65,67,25
74,72,64,70,25
78,72,64,59,25
75,72,65,63,25
76,72,63,67,25
84,72,64,77,25
84,71,69,69,25
82,72,67,72,25
71,80,66,66,25
81,72,69,72,25
79,72,63,64,25
79,72,70,73,25
83,72,66,75,25
76,72,64,68,25
72,67,69,88,25
72,64,82,71,25
79,71,66,67,25
87,72,65,67,25
71,79,64,66,25
77,72,64,62,25
69,73,64,59,25
75,73,71,67,25
79,73,64,67,25
89,73,63,67,25
82,72,63,76,26
87,73,64,71,26
85,72,64,74,26
78,72,81,68,26
88,73,63,75,26
81,65,73,71,26
83,70,65,71,26
71,87,69,75,26
71,89,68,74,26
72,65,81,67,26
78,71,65,67,26
80,72,73,67,26
73,71,66,72,26
78,72,63,72,26
79,71,67,76,26
85,71,68,73,26
78,71,66,80,26
71,76,68,74,26
81,72,62,80,26
75,71,71,78,26
82,71,70,83,26
75,71,66,70,26
75,70,71,67,26
73,71,66,68,26
84,70,69,75,26
79,70,70,74,26
78,70,73,74,26
81,70,77,69,26
70,83,66,76,26
80,70,74,82,26
82,69,68,75,26
80,69,74,64,26
81,69,75,78,26
74,71,73,69,26
82,70,78,78,26
75,70,78,69,26
